
  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
    80  1.4320e-03  1.3570e-07  6.7293e-08  1.0830e-03  6.3306e-04  5.4528e-01  7.6495e-02  0:19:39  920
    81  1.3747e-03  1.3205e-07  6.5140e-08  1.0556e-03  6.1108e-04  5.4546e-01  7.6501e-02  0:18:46  919
    82  1.2973e-03  1.2903e-07  6.3173e-08  1.0290e-03  5.8982e-04  5.4564e-01  7.6508e-02  0:18:03  918
    83  1.2255e-03  1.2688e-07  6.1162e-08  1.0030e-03  5.6899e-04  5.4581e-01  7.6514e-02  0:17:29  917
    84  1.1178e-03  1.2503e-07  5.8581e-08  9.7710e-04  5.4870e-04  5.4598e-01  7.6520e-02  0:20:05  916
    85  1.0847e-03  1.2448e-07  5.6000e-08  9.5155e-04  5.2879e-04  5.4614e-01  7.6526e-02  0:19:06  915
    86  1.1014e-03  1.2509e-07  5.3650e-08  9.2916e-04  5.0992e-04  5.4629e-01  7.6531e-02  0:18:18  914
    87  1.0710e-03  1.2182e-07  5.1066e-08  9.0838e-04  4.9151e-04  5.4644e-01  7.6536e-02  0:20:43  913
    88  1.0217e-03  1.1445e-07  4.9051e-08  8.8817e-04  4.7391e-04  5.4659e-01  7.6541e-02  0:19:36  912

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
    89  9.6301e-04  1.1056e-07  4.6968e-08  8.6860e-04  4.5660e-04  5.4673e-01  7.6546e-02  0:18:42  911
    90  9.1319e-04  1.0831e-07  4.4988e-08  8.4941e-04  4.4000e-04  5.4686e-01  7.6551e-02  0:21:00  910
    91  8.5717e-04  1.0772e-07  4.3285e-08  8.3033e-04  4.2405e-04  5.4699e-01  7.6555e-02  0:19:49  909
    92  8.0396e-04  1.0752e-07  4.2567e-08  8.1182e-04  4.0858e-04  5.4712e-01  7.6560e-02  0:21:53  908
    93  7.6285e-04  1.0410e-07  4.2142e-08  7.9364e-04  3.9349e-04  5.4724e-01  7.6564e-02  0:20:31  907
    94  7.6498e-04  1.0118e-07  4.1945e-08  7.7565e-04  3.7880e-04  5.4736e-01  7.6568e-02  0:19:25  906
    95  7.8753e-04  9.9134e-08  4.2036e-08  7.5772e-04  3.6462e-04  5.4748e-01  7.6572e-02  0:21:33  905
    96  8.0910e-04  9.5877e-08  4.2388e-08  7.4073e-04  3.5134e-04  5.4759e-01  7.6575e-02  0:20:14  904
    97  8.3074e-04  9.2981e-08  4.2808e-08  7.2520e-04  3.3881e-04  5.4770e-01  7.6579e-02  0:22:11  903
    98  8.5180e-04  9.1882e-08  4.3554e-08  7.1055e-04  3.2682e-04  5.4780e-01  7.6582e-02  0:20:44  902
    99  8.7602e-04  9.1817e-08  4.4245e-08  6.9635e-04  3.1552e-04  5.4790e-01  7.6585e-02  0:19:34  901

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   100  9.0194e-04  9.2069e-08  4.4934e-08  6.8281e-04  3.0475e-04  5.4800e-01  7.6589e-02  0:18:39  900
   101  9.3147e-04  9.2355e-08  4.5399e-08  6.6989e-04  2.9465e-04  5.4810e-01  7.6592e-02  0:20:53  899
   102  9.6850e-04  9.2134e-08  4.5959e-08  6.5774e-04  2.8507e-04  5.4819e-01  7.6595e-02  0:19:41  898
   103  9.9163e-04  9.2172e-08  4.6784e-08  6.4626e-04  2.7610e-04  5.4828e-01  7.6597e-02  0:18:43  897
   104  1.0324e-03  9.2478e-08  4.7861e-08  6.3509e-04  2.6764e-04  5.4837e-01  7.6600e-02  0:17:57  896
   105  1.1162e-03  9.2098e-08  4.9317e-08  6.2343e-04  2.5937e-04  5.4845e-01  7.6603e-02  0:17:20  895
   106  1.2814e-03  9.2596e-08  5.0561e-08  6.1161e-04  2.5096e-04  5.4853e-01  7.6605e-02  0:16:49  894
   107  1.5054e-03  9.1794e-08  5.1631e-08  5.9950e-04  2.4222e-04  5.4861e-01  7.6608e-02  0:16:25  893
   108  1.7274e-03  9.1897e-08  5.1998e-08  5.8826e-04  2.3302e-04  5.4869e-01  7.6610e-02  0:16:06  892
   109  1.8828e-03  9.3269e-08  5.0923e-08  5.7738e-04  2.2420e-04  5.4876e-01  7.6612e-02  0:15:50  891
   110  1.9004e-03  9.5105e-08  4.8914e-08  5.6655e-04  2.1591e-04  5.4883e-01  7.6614e-02  0:12:39  890

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   111  1.7661e-03  9.7057e-08  4.5918e-08  5.5594e-04  2.0848e-04  5.4890e-01  7.6616e-02  0:13:04  889
   112  1.5856e-03  9.7075e-08  4.3496e-08  5.4511e-04  2.0131e-04  5.4897e-01  7.6618e-02  0:13:24  888
   113  1.4330e-03  9.5425e-08  4.1677e-08  5.3493e-04  1.9447e-04  5.4904e-01  7.6620e-02  0:13:40  887
   114  1.3416e-03  8.9438e-08  4.1016e-08  5.2494e-04  1.8798e-04  5.4910e-01  7.6622e-02  0:13:53  886
   115  1.2447e-03  8.4410e-08  4.0744e-08  5.1512e-04  1.8185e-04  5.4917e-01  7.6624e-02  0:14:02  885
   116  1.1615e-03  8.4468e-08  4.0393e-08  5.0622e-04  1.7612e-04  5.4923e-01  7.6625e-02  0:14:10  884
   117  1.0791e-03  8.5381e-08  3.9312e-08  4.9753e-04  1.7055e-04  5.4929e-01  7.6627e-02  0:14:16  883
   118  9.9880e-04  8.5363e-08  3.7583e-08  4.8938e-04  1.6510e-04  5.4935e-01  7.6628e-02  0:14:20  882
   119  9.2973e-04  8.2932e-08  3.5282e-08  4.8137e-04  1.5985e-04  5.4940e-01  7.6630e-02  0:14:24  881
   120  8.6948e-04  8.1550e-08  3.2403e-08  4.7328e-04  1.5470e-04  5.4946e-01  7.6631e-02  0:14:26  880
   121  7.9295e-04  7.9139e-08  2.9989e-08  4.6556e-04  1.4962e-04  5.4951e-01  7.6633e-02  0:14:28  879

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   122  7.1380e-04  7.5018e-08  2.8786e-08  4.5816e-04  1.4461e-04  5.4957e-01  7.6634e-02  0:14:29  878
   123  6.5086e-04  6.9342e-08  2.7825e-08  4.5093e-04  1.3959e-04  5.4962e-01  7.6635e-02  0:17:25  877
   124  6.2470e-04  6.7657e-08  2.8087e-08  4.4403e-04  1.3460e-04  5.4966e-01  7.6637e-02  0:19:46  876
   125  6.2249e-04  6.8437e-08  2.9959e-08  4.3769e-04  1.3009e-04  5.4971e-01  7.6638e-02  0:18:42  875
   126  6.5396e-04  6.8650e-08  3.2193e-08  4.3198e-04  1.2607e-04  5.4976e-01  7.6639e-02  0:20:47  874
   127  7.0354e-04  6.8116e-08  3.4528e-08  4.2659e-04  1.2233e-04  5.4980e-01  7.6640e-02  0:19:31  873
   128  7.5483e-04  6.9423e-08  3.6684e-08  4.2152e-04  1.1882e-04  5.4985e-01  7.6641e-02  0:18:30  872
   129  8.1408e-04  6.9476e-08  3.8200e-08  4.1624e-04  1.1542e-04  5.4989e-01  7.6642e-02  0:17:41  871
   130  8.6918e-04  6.9000e-08  3.9442e-08  4.1119e-04  1.1214e-04  5.4993e-01  7.6643e-02  0:17:02  870
   131  9.1893e-04  6.7425e-08  4.0520e-08  4.0665e-04  1.0912e-04  5.4997e-01  7.6644e-02  0:16:30  869
   132  9.6969e-04  6.5439e-08  4.1646e-08  4.0229e-04  1.0627e-04  5.5001e-01  7.6645e-02  0:16:05  868

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   133  1.0276e-03  6.4109e-08  4.2431e-08  3.9767e-04  1.0346e-04  5.5005e-01  7.6646e-02  0:15:45  867
   134  1.1120e-03  6.3265e-08  4.3255e-08  3.9296e-04  1.0091e-04  5.5008e-01  7.6647e-02  0:15:28  866
   135  1.2446e-03  6.3142e-08  4.4401e-08  3.8798e-04  9.7998e-05  5.5012e-01  7.6648e-02  0:15:14  865
   136  1.4868e-03  6.2786e-08  4.6261e-08  3.8253e-04  9.4390e-05  5.5015e-01  7.6649e-02  0:12:11  864
   137  1.7753e-03  6.2037e-08  4.8215e-08  3.7668e-04  9.0254e-05  5.5018e-01  7.6649e-02  0:12:37  863
   138  2.0225e-03  6.1343e-08  4.9243e-08  3.7109e-04  8.6386e-05  5.5021e-01  7.6650e-02  0:12:57  862
   139  2.1352e-03  5.9916e-08  4.9638e-08  3.6556e-04  8.2810e-05  5.5024e-01  7.6651e-02  0:13:13  861
   140  2.0617e-03  5.9430e-08  4.7778e-08  3.5981e-04  7.9708e-05  5.5027e-01  7.6651e-02  0:10:34  860
   141  1.8925e-03  5.9592e-08  4.2660e-08  3.5354e-04  7.6821e-05  5.5030e-01  7.6652e-02  0:11:18  859
   142  1.6716e-03  5.9969e-08  3.9967e-08  3.4790e-04  7.4102e-05  5.5033e-01  7.6653e-02  0:11:53  858
   143  1.5096e-03  5.7853e-08  3.9405e-08  3.4273e-04  7.1602e-05  5.5036e-01  7.6653e-02  0:12:22  857

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   144  1.4054e-03  5.5505e-08  3.9339e-08  3.3814e-04  6.9284e-05  5.5039e-01  7.6654e-02  0:12:44  856
   145  1.3150e-03  5.4026e-08  3.8894e-08  3.3333e-04  6.7069e-05  5.5041e-01  7.6654e-02  0:13:01  855
   146  1.2041e-03  5.3577e-08  3.7456e-08  3.2885e-04  6.4819e-05  5.5044e-01  7.6655e-02  0:13:15  854
   147  1.0846e-03  5.3782e-08  3.4306e-08  3.2462e-04  6.2615e-05  5.5046e-01  7.6655e-02  0:13:26  853
   148  9.6533e-04  5.4681e-08  3.1029e-08  3.2072e-04  6.0268e-05  5.5049e-01  7.6656e-02  0:13:34  852
   149  8.3966e-04  5.5735e-08  2.9355e-08  3.1686e-04  5.7963e-05  5.5051e-01  7.6656e-02  0:13:41  851
