
  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   586  3.6179e-04  5.5286e-08  6.4788e-09  1.2953e-06  4.6001e-07  5.5116e-01  7.6673e-02  0:06:02  414
   587  4.4032e-04  6.1616e-08  7.7083e-09  1.3849e-06  4.9203e-07  5.5116e-01  7.6673e-02  0:04:49  413
   588  4.9970e-04  5.9291e-08  8.9072e-09  1.4649e-06  5.4154e-07  5.5116e-01  7.6673e-02  0:06:35  412
   589  5.4068e-04  5.6326e-08  8.9567e-09  1.4793e-06  5.4951e-07  5.5116e-01  7.6673e-02  0:06:38  411
   590  5.2427e-04  4.9520e-08  8.8159e-09  1.5085e-06  5.6778e-07  5.5116e-01  7.6673e-02  0:05:17  410
   591  4.6933e-04  4.2069e-08  7.3806e-09  1.4952e-06  5.6756e-07  5.5116e-01  7.6673e-02  0:05:35  409
   592  4.3022e-04  3.6452e-08  5.9001e-09  1.4809e-06  5.6441e-07  5.5116e-01  7.6673e-02  0:05:49  408
   593  3.9476e-04  3.7631e-08  5.4791e-09  1.4141e-06  5.2906e-07  5.5116e-01  7.6673e-02  0:04:38  407
   594  3.9139e-04  4.4537e-08  5.4070e-09  1.3750e-06  4.9923e-07  5.5116e-01  7.6673e-02  0:05:03  406

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   595  4.1394e-04  4.3784e-08  6.6747e-09  1.2750e-06  4.5586e-07  5.5116e-01  7.6673e-02  0:05:23  405
   596  4.0109e-04  3.6996e-08  6.2443e-09  1.2037e-06  4.5102e-07  5.5116e-01  7.6673e-02  0:05:39  404
   597  3.7218e-04  3.3966e-08  5.5325e-09  1.1135e-06  4.4319e-07  5.5116e-01  7.6673e-02  0:04:30  403
   598  3.4091e-04  3.3992e-08  4.3788e-09  1.0722e-06  4.6487e-07  5.5116e-01  7.6673e-02  0:04:56  402
   599  3.3132e-04  3.7295e-08  4.3279e-09  1.0241e-06  4.7287e-07  5.5116e-01  7.6673e-02  0:05:16  401
   600  3.1770e-04  3.1248e-08  4.4218e-09  9.8584e-07  4.7607e-07  5.5116e-01  7.6673e-02  0:04:13  400
   601  3.0561e-04  2.8294e-08  4.3894e-09  9.6946e-07  4.7535e-07  5.5116e-01  7.6673e-02  0:04:41  399
   602  2.8860e-04  2.6530e-08  4.1851e-09  9.9106e-07  4.7778e-07  5.5116e-01  7.6673e-02  0:05:04  398
   603  2.7641e-04  2.6694e-08  3.7237e-09  9.8917e-07  4.7510e-07  5.5116e-01  7.6673e-02  0:05:22  397
   604  2.6565e-04  2.7381e-08  3.4332e-09  9.9314e-07  4.7545e-07  5.5116e-01  7.6673e-02  0:04:17  396
   605  2.6100e-04  2.9683e-08  3.3333e-09  9.8778e-07  4.6633e-07  5.5116e-01  7.6673e-02  0:06:03  395

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   606  2.6367e-04  3.1449e-08  3.5219e-09  9.8025e-07  4.5094e-07  5.5116e-01  7.6673e-02  0:04:50  394
   607  2.6861e-04  3.0633e-08  3.9302e-09  9.6670e-07  4.2108e-07  5.5116e-01  7.6673e-02  0:05:10  393
   608  2.8034e-04  3.7111e-08  4.1376e-09  9.3231e-07  3.6759e-07  5.5116e-01  7.6673e-02  0:05:26  392
   609  3.2314e-04  5.2075e-08  4.9291e-09  9.0810e-07  3.2896e-07  5.5116e-01  7.6673e-02  0:05:38  391
   610  3.8703e-04  4.8991e-08  6.3933e-09  8.6661e-07  3.3408e-07  5.5116e-01  7.6673e-02  0:05:48  390
   611  4.1079e-04  3.8791e-08  6.9219e-09  8.3794e-07  3.5660e-07  5.5116e-01  7.6673e-02  0:04:37  389
   612  3.6204e-04  3.3797e-08  6.0298e-09  8.1830e-07  3.8136e-07  5.5116e-01  7.6673e-02  0:04:59  388
   613  3.6045e-04  3.3820e-08  4.7419e-09  8.1951e-07  4.1014e-07  5.5116e-01  7.6673e-02  0:05:16  387
   614  3.4547e-04  3.7546e-08  4.4038e-09  8.4475e-07  4.3728e-07  5.5116e-01  7.6673e-02  0:04:12  386
   615  3.4399e-04  4.6005e-08  4.7206e-09  9.1992e-07  4.8556e-07  5.5116e-01  7.6673e-02  0:04:38  385
   616  3.9013e-04  6.3845e-08  5.9177e-09  1.0204e-06  5.3111e-07  5.5116e-01  7.6673e-02  0:04:59  384

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   617  5.3748e-04  8.3403e-08  8.7424e-09  1.0635e-06  5.1141e-07  5.5116e-01  7.6673e-02  0:05:15  383
   618  6.4082e-04  7.1489e-08  1.1912e-08  1.0538e-06  4.9478e-07  5.5116e-01  7.6673e-02  0:05:28  382
   619  5.9968e-04  6.1760e-08  1.1055e-08  1.0890e-06  5.1905e-07  5.5116e-01  7.6673e-02  0:04:22  381
   620  5.3367e-04  4.8339e-08  9.8817e-09  1.1261e-06  5.6288e-07  5.5116e-01  7.6673e-02  0:04:45  380
   621  5.3140e-04  4.1922e-08  8.0931e-09  1.1718e-06  6.0639e-07  5.5116e-01  7.6673e-02  0:05:03  379
   622  4.9069e-04  3.9626e-08  6.7025e-09  1.1955e-06  6.3385e-07  5.5116e-01  7.6673e-02  0:05:17  378
   623  4.5211e-04  3.0399e-08  6.1768e-09  1.1378e-06  6.2307e-07  5.5116e-01  7.6673e-02  0:05:29  377
   624  4.0944e-04  2.6753e-08  5.9027e-09  1.0708e-06  5.9898e-07  5.5116e-01  7.6673e-02  0:05:37  376
   625  3.8243e-04  2.8606e-08  5.4232e-09  1.0037e-06  5.6829e-07  5.5116e-01  7.6673e-02  0:04:29  375
   626  3.6549e-04  3.3164e-08  4.9135e-09  9.4908e-07  5.3911e-07  5.5116e-01  7.6673e-02  0:04:50  374
   627  3.6248e-04  3.7461e-08  4.8461e-09  8.9981e-07  4.9062e-07  5.5116e-01  7.6673e-02  0:05:06  373

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   628  3.6924e-04  4.3514e-08  5.1847e-09  9.0349e-07  4.6540e-07  5.5116e-01  7.6673e-02  0:05:18  372
   629  3.9622e-04  5.3403e-08  6.2752e-09  8.8752e-07  4.4053e-07  5.5116e-01  7.6673e-02  0:04:14  371
   630  4.3493e-04  6.1445e-08  7.0917e-09  9.1104e-07  4.2445e-07  5.5116e-01  7.6673e-02  0:04:37  370
   631  4.7775e-04  6.0273e-08  8.1250e-09  9.1394e-07  4.2886e-07  5.5116e-01  7.6673e-02  0:04:54  369
   632  4.7739e-04  5.8068e-08  7.6055e-09  8.7891e-07  4.0064e-07  5.5116e-01  7.6673e-02  0:05:09  368
   633  4.6256e-04  5.5472e-08  7.1785e-09  8.9349e-07  4.1376e-07  5.5116e-01  7.6673e-02  0:04:06  367
   634  4.5004e-04  5.3110e-08  6.1722e-09  9.0195e-07  4.0713e-07  5.5116e-01  7.6673e-02  0:04:30  366
   635  4.3833e-04  5.1375e-08  6.0156e-09  9.3803e-07  4.2247e-07  5.5116e-01  7.6673e-02  0:04:48  365
   636  4.1648e-04  3.8255e-08  5.9351e-09  9.6114e-07  4.4398e-07  5.5116e-01  7.6673e-02  0:05:03  364
   637  3.7475e-04  3.4942e-08  5.4578e-09  9.5458e-07  4.4573e-07  5.5116e-01  7.6673e-02  0:04:01  363
   638  3.4650e-04  3.8010e-08  4.9276e-09  9.6120e-07  4.5654e-07  5.5116e-01  7.6673e-02  0:05:37  362

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   639  3.7062e-04  5.0266e-08  4.9300e-09  9.6010e-07  4.3938e-07  5.5116e-01  7.6673e-02  0:04:29  361
   640  4.8193e-04  7.6064e-08  6.8671e-09  1.1193e-06  4.8250e-07  5.5116e-01  7.6673e-02  0:04:47  360
   641  6.8566e-04  1.0101e-07  1.0858e-08  1.2616e-06  5.4332e-07  5.5116e-01  7.6673e-02  0:05:01  359
   642  7.5172e-04  8.5057e-08  1.3633e-08  1.2749e-06  5.2561e-07  5.5116e-01  7.6673e-02  0:05:11  358
   643  7.1646e-04  7.7235e-08  1.2894e-08  1.1797e-06  4.8246e-07  5.5116e-01  7.6673e-02  0:05:20  357
   644  6.5504e-04  6.5711e-08  1.2258e-08  1.1198e-06  4.6628e-07  5.5116e-01  7.6673e-02  0:04:15  356
   645  6.0941e-04  5.9076e-08  1.0554e-08  1.1258e-06  4.9369e-07  5.5116e-01  7.6673e-02  0:04:35  355
   646  5.6681e-04  5.6529e-08  9.8865e-09  1.1678e-06  5.5139e-07  5.5116e-01  7.6673e-02  0:04:50  354
   647  5.6779e-04  4.9954e-08  1.0018e-08  1.2092e-06  6.0562e-07  5.5116e-01  7.6673e-02  0:05:02  353
   648  5.4701e-04  5.1683e-08  9.0240e-09  1.2650e-06  6.5935e-07  5.5116e-01  7.6673e-02  0:04:01  352
   649  5.5607e-04  5.6730e-08  8.4977e-09  1.3571e-06  7.1399e-07  5.5116e-01  7.6673e-02  0:04:22  351

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   650  6.2676e-04  6.9133e-08  9.5767e-09  1.4900e-06  7.6918e-07  5.5116e-01  7.6673e-02  0:04:39  350
   651  6.5241e-04  6.8452e-08  1.1457e-08  1.4709e-06  7.5955e-07  5.5116e-01  7.6673e-02  0:04:53  349
   652  6.3869e-04  6.9299e-08  1.1699e-08  1.4365e-06  7.3301e-07  5.5116e-01  7.6673e-02  0:05:03  348
   653  5.8045e-04  6.5932e-08  1.0328e-08  1.3309e-06  6.7505e-07  5.5116e-01  7.6673e-02  0:04:02  347
   654  6.1568e-04  6.6947e-08  1.1316e-08  1.2156e-06  5.9929e-07  5.5116e-01  7.6673e-02  0:04:22  346
   655  6.1856e-04  6.9967e-08  1.1665e-08  1.1825e-06  5.4300e-07  5.5116e-01  7.6673e-02  0:05:47  345
   656  6.7482e-04  7.6144e-08  1.2619e-08  1.1458e-06  4.8674e-07  5.5116e-01  7.6673e-02  0:05:46  344
   657  6.7843e-04  7.9335e-08  1.2758e-08  1.0730e-06  4.1192e-07  5.5116e-01  7.6673e-02  0:04:36  343
   658  7.0864e-04  8.4349e-08  1.2926e-08  9.9995e-07  3.5359e-07  5.5116e-01  7.6673e-02  0:04:48  342
   659  6.9065e-04  8.3476e-08  1.3711e-08  1.0388e-06  3.7760e-07  5.5116e-01  7.6673e-02  0:04:58  341
   660  6.8065e-04  8.1262e-08  1.2120e-08  1.1456e-06  4.3893e-07  5.5116e-01  7.6673e-02  0:05:06  340

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   661  6.8371e-04  8.5164e-08  1.1806e-08  1.3330e-06  5.3505e-07  5.5116e-01  7.6673e-02  0:05:12  339
   662  7.0765e-04  7.7399e-08  1.2371e-08  1.3324e-06  5.4771e-07  5.5116e-01  7.6673e-02  0:04:09  338
   663  6.9455e-04  7.9469e-08  1.2981e-08  1.3515e-06  5.6093e-07  5.5116e-01  7.6673e-02  0:04:26  337
   664  6.7548e-04  8.5991e-08  1.2336e-08  1.4487e-06  5.6696e-07  5.5116e-01  7.6673e-02  0:04:39  336
   665  7.6667e-04  7.7186e-08  1.5990e-08  1.3675e-06  5.2557e-07  5.5116e-01  7.6673e-02  0:04:50  335
   666  5.9729e-04  6.2583e-08  1.1467e-08  1.3576e-06  5.0499e-07  5.5116e-01  7.6673e-02  0:04:58  334
   667  6.0718e-04  6.3169e-08  9.8932e-09  1.3590e-06  5.0216e-07  5.5116e-01  7.6673e-02  0:05:04  333
   668  6.1130e-04  7.0769e-08  9.3536e-09  1.4189e-06  5.2296e-07  5.5116e-01  7.6673e-02  0:04:03  332
   669  6.0564e-04  6.4769e-08  1.1464e-08  1.4585e-06  5.6701e-07  5.5116e-01  7.6673e-02  0:04:20  331
   670  6.1685e-04  6.2306e-08  1.0237e-08  1.4750e-06  5.8676e-07  5.5116e-01  7.6673e-02  0:04:33  330
   671  5.1232e-04  6.5749e-08  1.1303e-08  1.3424e-06  5.5419e-07  5.5116e-01  7.6673e-02  0:05:49  329

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   672  5.4579e-04  6.1512e-08  1.0153e-08  1.3149e-06  5.5543e-07  5.5116e-01  7.6673e-02  0:05:44  328
   673  4.8932e-04  5.9387e-08  1.1125e-08  1.2210e-06  5.2836e-07  5.5116e-01  7.6673e-02  0:05:40  327
   674  5.3896e-04  6.6029e-08  9.9876e-09  1.2069e-06  5.0590e-07  5.5116e-01  7.6673e-02  0:04:31  326
   675  5.9541e-04  8.8172e-08  1.0072e-08  1.1857e-06  4.7026e-07  5.5116e-01  7.6673e-02  0:04:41  325
   676  6.9962e-04  7.4631e-08  1.2398e-08  1.1628e-06  4.4042e-07  5.5116e-01  7.6673e-02  0:04:49  324
   677  6.9265e-04  6.0580e-08  1.2433e-08  1.1758e-06  4.4552e-07  5.5116e-01  7.6673e-02  0:04:55  323
   678  6.3521e-04  5.2711e-08  1.1509e-08  1.1660e-06  4.5155e-07  5.5116e-01  7.6673e-02  0:05:00  322
   679  5.6536e-04  4.2458e-08  9.3515e-09  1.1249e-06  4.4275e-07  5.5116e-01  7.6673e-02  0:05:03  321
   680  5.2441e-04  2.9601e-08  7.5571e-09  1.0670e-06  4.2774e-07  5.5116e-01  7.6673e-02  0:04:02  320
   681  4.4483e-04  2.3942e-08  6.2169e-09  1.0160e-06  4.1455e-07  5.5116e-01  7.6673e-02  0:04:17  319
   682  3.9822e-04  2.3422e-08  5.6017e-09  9.6548e-07  3.9445e-07  5.5116e-01  7.6673e-02  0:04:28  318

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   683  3.6772e-04  2.5993e-08  5.2973e-09  9.1217e-07  3.6219e-07  5.5116e-01  7.6673e-02  0:04:37  317
   684  3.6038e-04  3.2992e-08  5.3518e-09  8.8039e-07  3.2654e-07  5.5116e-01  7.6673e-02  0:04:44  316
   685  3.7850e-04  4.4107e-08  5.8831e-09  9.0321e-07  3.0828e-07  5.5116e-01  7.6673e-02  0:04:50  315
   686  4.4118e-04  5.8406e-08  7.1075e-09  1.0071e-06  3.5728e-07  5.5116e-01  7.6673e-02  0:03:51  314
   687  5.1392e-04  4.2070e-08  8.9064e-09  1.0594e-06  4.1263e-07  5.5116e-01  7.6673e-02  0:05:09  313
   688  4.7853e-04  3.6450e-08  7.9431e-09  1.1192e-06  4.5491e-07  5.5116e-01  7.6673e-02  0:05:09  312
   689  4.2610e-04  3.3027e-08  6.5155e-09  1.1814e-06  4.9480e-07  5.5116e-01  7.6673e-02  0:04:07  311
   690  4.0662e-04  3.1663e-08  5.2115e-09  1.2247e-06  5.1879e-07  5.5116e-01  7.6673e-02  0:04:19  310
   691  3.7440e-04  3.5314e-08  4.8517e-09  1.2620e-06  5.2597e-07  5.5116e-01  7.6673e-02  0:04:28  309
   692  3.6036e-04  4.1687e-08  5.2568e-09  1.3034e-06  5.2989e-07  5.5116e-01  7.6673e-02  0:04:35  308
   693  3.8468e-04  5.6292e-08  6.0759e-09  1.3441e-06  5.4101e-07  5.5116e-01  7.6673e-02  0:03:40  307

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   694  4.5937e-04  6.6912e-08  7.7266e-09  1.3510e-06  5.6054e-07  5.5116e-01  7.6673e-02  0:03:56  306
   695  5.9514e-04  8.3388e-08  9.7941e-09  1.2720e-06  5.2946e-07  5.5116e-01  7.6673e-02  0:04:09  305
   696  6.8697e-04  6.6552e-08  1.2601e-08  1.0964e-06  4.7041e-07  5.5116e-01  7.6673e-02  0:04:20  304
   697  6.1700e-04  5.5258e-08  1.1017e-08  1.0344e-06  4.6254e-07  5.5116e-01  7.6673e-02  0:04:28  303
   698  5.1382e-04  5.3374e-08  9.1295e-09  1.0473e-06  4.9965e-07  5.5116e-01  7.6673e-02  0:03:33  302
   699  5.0409e-04  4.5871e-08  8.4421e-09  1.0467e-06  5.2371e-07  5.5116e-01  7.6673e-02  0:03:50  301
   700  4.7687e-04  4.4243e-08  7.5583e-09  1.0452e-06  5.4098e-07  5.5116e-01  7.6673e-02  0:04:04  300
   701  4.4372e-04  3.6151e-08  7.5668e-09  1.0359e-06  5.3885e-07  5.5116e-01  7.6673e-02  0:04:14  299
   702  4.0360e-04  3.2322e-08  7.1360e-09  1.0277e-06  5.3268e-07  5.5116e-01  7.6673e-02  0:04:22  298
   703  3.8058e-04  3.1687e-08  6.0980e-09  1.0167e-06  5.1314e-07  5.5116e-01  7.6673e-02  0:04:28  297
   704  3.6298e-04  3.5719e-08  5.3231e-09  9.7737e-07  4.9079e-07  5.5116e-01  7.6673e-02  0:04:33  296

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   705  3.5402e-04  4.4689e-08  5.3291e-09  9.7781e-07  4.7484e-07  5.5116e-01  7.6673e-02  0:04:37  295
   706  3.8545e-04  6.1051e-08  7.2888e-09  1.0515e-06  5.1125e-07  5.5116e-01  7.6673e-02  0:04:40  294
   707  4.7863e-04  5.5985e-08  9.6525e-09  1.0752e-06  4.9962e-07  5.5116e-01  7.6673e-02  0:04:41  293
   708  4.8681e-04  5.7911e-08  9.7836e-09  1.0608e-06  4.7829e-07  5.5116e-01  7.6673e-02  0:04:43  292
   709  5.3219e-04  4.9185e-08  9.5473e-09  1.0085e-06  4.6397e-07  5.5116e-01  7.6673e-02  0:03:45  291
   710  5.0617e-04  4.8663e-08  8.2411e-09  9.7639e-07  4.7284e-07  5.5116e-01  7.6673e-02  0:03:58  290
   711  4.6566e-04  4.3274e-08  7.7466e-09  9.2408e-07  4.6977e-07  5.5116e-01  7.6673e-02  0:04:07  289
   712  4.4374e-04  3.6493e-08  6.7241e-09  8.7391e-07  4.7262e-07  5.5116e-01  7.6673e-02  0:03:17  288
   713  4.1250e-04  3.2736e-08  5.8565e-09  8.2337e-07  4.6884e-07  5.5116e-01  7.6673e-02  0:03:35  287
   714  3.8975e-04  3.1804e-08  5.2395e-09  7.9605e-07  4.6378e-07  5.5116e-01  7.6673e-02  0:03:48  286
   715  3.6152e-04  3.2589e-08  5.0445e-09  7.8642e-07  4.5349e-07  5.5116e-01  7.6673e-02  0:03:59  285

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   716  3.4864e-04  3.3956e-08  5.0371e-09  8.0070e-07  4.3329e-07  5.5116e-01  7.6673e-02  0:03:11  284
   717  3.4009e-04  3.4793e-08  5.0494e-09  8.1417e-07  4.0820e-07  5.5116e-01  7.6673e-02  0:03:28  283
   718  3.4848e-04  3.8181e-08  4.9213e-09  8.1716e-07  3.8267e-07  5.5116e-01  7.6673e-02  0:03:43  282
   719  3.7517e-04  4.6948e-08  5.0653e-09  8.1638e-07  3.7549e-07  5.5116e-01  7.6673e-02  0:03:54  281
   720  4.4609e-04  6.1236e-08  6.2731e-09  8.4173e-07  3.9996e-07  5.5116e-01  7.6673e-02  0:04:02  280
   721  5.4682e-04  5.5521e-08  8.8188e-09  9.3768e-07  4.5336e-07  5.5116e-01  7.6673e-02  0:04:09  279
   722  4.9755e-04  5.2440e-08  8.1081e-09  9.8309e-07  4.8602e-07  5.5116e-01  7.6673e-02  0:03:18  278
   723  4.2977e-04  3.9897e-08  7.0431e-09  1.0040e-06  5.0237e-07  5.5116e-01  7.6673e-02  0:03:34  277
   724  3.9244e-04  3.1397e-08  6.0272e-09  9.9747e-07  5.0652e-07  5.5116e-01  7.6673e-02  0:03:45  276
   725  3.6789e-04  2.9866e-08  5.4375e-09  9.6446e-07  4.9266e-07  5.5116e-01  7.6673e-02  0:03:55  275
   726  3.4261e-04  3.3813e-08  4.8466e-09  9.1736e-07  4.5979e-07  5.5116e-01  7.6673e-02  0:03:07  274

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   727  3.4656e-04  4.1874e-08  4.7856e-09  8.7029e-07  4.0322e-07  5.5116e-01  7.6673e-02  0:03:24  273
   728  3.7089e-04  5.3755e-08  5.5449e-09  8.1427e-07  3.3824e-07  5.5116e-01  7.6673e-02  0:03:37  272
   729  4.1843e-04  5.6718e-08  6.8959e-09  7.7112e-07  3.0681e-07  5.5116e-01  7.6673e-02  0:03:47  271
   730  4.4212e-04  4.3300e-08  7.5694e-09  7.6936e-07  3.1127e-07  5.5116e-01  7.6673e-02  0:03:01  270
   731  3.9858e-04  4.5903e-08  6.5257e-09  8.3018e-07  3.4810e-07  5.5116e-01  7.6673e-02  0:03:18  269
   732  3.9549e-04  4.9191e-08  5.6273e-09  9.0943e-07  3.9196e-07  5.5116e-01  7.6673e-02  0:03:31  268
   733  4.0336e-04  4.9367e-08  5.7043e-09  1.0092e-06  4.5562e-07  5.5116e-01  7.6673e-02  0:03:42  267
   734  4.1153e-04  4.8365e-08  6.0394e-09  1.1167e-06  5.1884e-07  5.5116e-01  7.6673e-02  0:03:50  266
   735  4.0792e-04  5.2764e-08  6.0939e-09  1.2186e-06  5.7928e-07  5.5116e-01  7.6673e-02  0:03:56  265
   736  4.1364e-04  5.4583e-08  6.3946e-09  1.2903e-06  6.3638e-07  5.5116e-01  7.6673e-02  0:03:08  264
   737  4.1515e-04  4.2261e-08  6.6437e-09  1.3120e-06  6.6079e-07  5.5116e-01  7.6673e-02  0:03:23  263

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   738  4.0057e-04  3.2937e-08  6.5009e-09  1.3111e-06  6.6241e-07  5.5116e-01  7.6673e-02  0:03:34  262
   739  3.6908e-04  3.0788e-08  5.6277e-09  1.2811e-06  6.5376e-07  5.5116e-01  7.6673e-02  0:03:43  261
   740  3.5403e-04  3.2876e-08  4.5498e-09  1.2514e-06  6.3368e-07  5.5116e-01  7.6673e-02  0:02:57  260
   741  3.5780e-04  3.8156e-08  4.5183e-09  1.2209e-06  6.0087e-07  5.5116e-01  7.6673e-02  0:03:13  259
   742  3.8369e-04  4.9960e-08  5.1095e-09  1.2124e-06  5.6594e-07  5.5116e-01  7.6673e-02  0:03:26  258
   743  4.2793e-04  5.9605e-08  6.6185e-09  1.1508e-06  5.1575e-07  5.5116e-01  7.6673e-02  0:03:35  257
   744  4.8091e-04  7.1564e-08  8.0128e-09  1.0698e-06  4.4561e-07  5.5116e-01  7.6673e-02  0:03:43  256
   745  5.4920e-04  5.8681e-08  1.0180e-08  1.0317e-06  4.1394e-07  5.5116e-01  7.6673e-02  0:02:57  255
   746  4.4747e-04  4.6740e-08  7.6318e-09  9.9100e-07  3.9382e-07  5.5116e-01  7.6673e-02  0:03:12  254
   747  4.5500e-04  5.1470e-08  6.2567e-09  9.5831e-07  3.7163e-07  5.5116e-01  7.6673e-02  0:03:24  253
   748  4.9307e-04  7.4202e-08  6.6471e-09  1.0061e-06  3.8093e-07  5.5116e-01  7.6673e-02  0:03:33  252

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   749  6.3334e-04  7.0738e-08  1.0474e-08  1.0283e-06  4.1891e-07  5.5116e-01  7.6673e-02  0:03:40  251
   750  6.0431e-04  5.4750e-08  9.9023e-09  1.0672e-06  4.4966e-07  5.5116e-01  7.6673e-02  0:03:45  250
   751  5.0434e-04  6.0386e-08  8.6002e-09  1.1196e-06  4.7977e-07  5.5116e-01  7.6673e-02  0:03:49  249
   752  5.3365e-04  7.7652e-08  8.1662e-09  1.1869e-06  4.9616e-07  5.5116e-01  7.6673e-02  0:03:52  248
   753  6.3216e-04  9.5473e-08  1.0910e-08  1.2244e-06  5.0329e-07  5.5116e-01  7.6673e-02  0:03:54  247
   754  7.3390e-04  7.5890e-08  1.3816e-08  1.1112e-06  4.6270e-07  5.5116e-01  7.6673e-02  0:03:07  246
   755  7.0945e-04  5.9330e-08  1.3177e-08  1.0910e-06  4.8798e-07  5.5116e-01  7.6673e-02  0:03:18  245
   756  5.9135e-04  4.7284e-08  1.1141e-08  1.1208e-06  5.4531e-07  5.5116e-01  7.6673e-02  0:03:26  244
   757  5.4274e-04  4.3642e-08  8.8265e-09  1.1558e-06  5.9617e-07  5.5116e-01  7.6673e-02  0:03:33  243
   758  4.8584e-04  4.5542e-08  7.5144e-09  1.2031e-06  6.3083e-07  5.5116e-01  7.6673e-02  0:02:50  242
   759  4.6905e-04  3.6178e-08  7.3494e-09  1.2490e-06  6.4859e-07  5.5116e-01  7.6673e-02  0:03:03  241

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   760  4.3116e-04  3.4049e-08  7.1448e-09  1.2818e-06  6.4767e-07  5.5116e-01  7.6673e-02  0:03:14  240
   761  4.1494e-04  3.9053e-08  6.2513e-09  1.2820e-06  6.1892e-07  5.5116e-01  7.6673e-02  0:03:22  239
   762  4.2782e-04  5.1010e-08  6.3079e-09  1.2551e-06  5.6859e-07  5.5116e-01  7.6673e-02  0:03:29  238
   763  4.9881e-04  7.4992e-08  7.8417e-09  1.2530e-06  5.1707e-07  5.5116e-01  7.6673e-02  0:02:46  237
   764  6.0945e-04  7.2903e-08  1.0737e-08  1.2646e-06  5.0125e-07  5.5116e-01  7.6673e-02  0:03:47  236
   765  6.1799e-04  5.3052e-08  1.0862e-08  1.2832e-06  4.9031e-07  5.5116e-01  7.6673e-02  0:03:48  235
   766  5.4365e-04  4.5663e-08  9.4124e-09  1.3178e-06  4.7115e-07  5.5116e-01  7.6673e-02  0:03:01  234
   767  5.3215e-04  4.5301e-08  7.4286e-09  1.3070e-06  4.3364e-07  5.5116e-01  7.6673e-02  0:03:11  233
   768  5.1317e-04  4.7166e-08  7.2890e-09  1.2847e-06  3.9786e-07  5.5116e-01  7.6673e-02  0:03:19  232
   769  5.0899e-04  3.8741e-08  7.6062e-09  1.2448e-06  3.7631e-07  5.5116e-01  7.6673e-02  0:03:24  231
   770  4.5733e-04  3.4375e-08  7.1086e-09  1.2096e-06  3.7448e-07  5.5116e-01  7.6673e-02  0:02:43  230

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   771  4.1131e-04  3.2572e-08  6.0606e-09  1.1819e-06  3.9272e-07  5.5116e-01  7.6673e-02  0:02:56  229
   772  3.8713e-04  3.2828e-08  5.0771e-09  1.1837e-06  4.3192e-07  5.5116e-01  7.6673e-02  0:03:05  228
   773  3.6907e-04  3.7455e-08  4.8848e-09  1.1658e-06  4.6115e-07  5.5116e-01  7.6673e-02  0:03:13  227
   774  3.7987e-04  5.0034e-08  5.3085e-09  1.1371e-06  4.5020e-07  5.5116e-01  7.6673e-02  0:02:34  226
   775  4.4553e-04  7.1195e-08  6.3896e-09  1.1159e-06  4.0145e-07  5.5116e-01  7.6673e-02  0:02:47  225
   776  5.3391e-04  6.9905e-08  9.0932e-09  1.0603e-06  3.5528e-07  5.5116e-01  7.6673e-02  0:02:58  224
   777  5.7313e-04  4.9522e-08  9.7852e-09  1.0256e-06  3.3627e-07  5.5116e-01  7.6673e-02  0:03:07  223
   778  4.8300e-04  4.2520e-08  8.4936e-09  9.9088e-07  3.3172e-07  5.5116e-01  7.6673e-02  0:02:29  222
   779  4.4134e-04  3.7300e-08  6.5259e-09  9.6089e-07  3.3299e-07  5.5116e-01  7.6673e-02  0:03:27  221
   780  4.0490e-04  3.0715e-08  5.5309e-09  9.4287e-07  3.4449e-07  5.5116e-01  7.6673e-02  0:02:45  220
   781  3.6425e-04  3.2770e-08  5.1740e-09  9.3785e-07  3.6728e-07  5.5116e-01  7.6673e-02  0:02:55  219

  iter  continuity  x-velocity  y-velocity           k       omega          cl          cd     time/iter
   782  3.4527e-04  3.6728e-08  5.3339e-09  9.9419e-07  4.3357e-07  5.5116e-01  7.6673e-02  0:03:03  218
   783  3.5349e-04  4.0188e-08  5.9721e-09  1.0198e-06  4.6051e-07  5.5116e-01  7.6673e-02  0:03:09  217
